pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
380644780,lia/chc-lia-0012.smt2,7590009,spacer,19768,def,300997,timeout (cpu),900.08,900.164,676240.0,starexec-unknown
380644781,lia/chc-lia-0012.smt2,7590009,TransfHORNer,20513,default,303835,complete,600.709,601.214,1000580.0,sat
380645134,lia/chc-lia-0013.smt2,7590067,PECOS-v1.10,20409,lia.sh,303282,complete,1.72195,1.72082,139032.0,sat
380645135,lia/chc-lia-0013.smt2,7590067,Eldarica 2.0alpha 12GB,20382,def,303234,timeout (cpu),900.08,428.601,1.7025892E7,starexec-unknown
380645136,lia/chc-lia-0013.smt2,7590067,hoice v1.5.0,20413,hoice_default,303297,timeout (cpu),900.01,897.832,290048.0,starexec-unknown
380645137,lia/chc-lia-0013.smt2,7590067,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.08,856.529,5.9470372E7,starexec-unknown
380645138,lia/chc-lia-0013.smt2,7590067,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.07,569.457,6.0221392E7,starexec-unknown
380645139,lia/chc-lia-0013.smt2,7590067,rebus v1.5,20525,def,303851,timeout (cpu),900.02,900.204,669744.0,starexec-unknown
380645140,lia/chc-lia-0013.smt2,7590067,spacer,19768,def,300997,timeout (cpu),900.1,900.213,529616.0,starexec-unknown
380645141,lia/chc-lia-0013.smt2,7590067,TransfHORNer,20513,default,303835,timeout (cpu),900.08,900.942,1682472.0,starexec-unknown
380643958,lia/chc-lia-0014.smt2,7589880,PECOS-v1.10,20409,lia.sh,303282,complete,527.252,530.16,1.3805416E7,starexec-unknown
380643959,lia/chc-lia-0014.smt2,7589880,Eldarica 2.0alpha 12GB,20382,def,303234,complete,220.391,83.5376,4.1012092E7,sat
380643960,lia/chc-lia-0014.smt2,7589880,hoice v1.5.0,20413,hoice_default,303297,timeout (cpu),900.04,892.451,292008.0,starexec-unknown
380643961,lia/chc-lia-0014.smt2,7589880,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.06,846.019,5.9470372E7,starexec-unknown
380643962,lia/chc-lia-0014.smt2,7589880,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.09,485.838,6.0268564E7,starexec-unknown
380643963,lia/chc-lia-0014.smt2,7589880,rebus v1.5,20525,def,303851,timeout (cpu),900.07,900.132,401436.0,starexec-unknown
380643964,lia/chc-lia-0014.smt2,7589880,spacer,19768,def,300997,complete,587.442,587.577,489948.0,sat
380643965,lia/chc-lia-0014.smt2,7589880,TransfHORNer,20513,default,303835,timeout (cpu),900.03,900.941,2245308.0,starexec-unknown
380644574,lia/chc-lia-0015.smt2,7589980,PECOS-v1.10,20409,lia.sh,303282,complete,0.827822,0.829111,127944.0,sat
380644575,lia/chc-lia-0015.smt2,7589980,Eldarica 2.0alpha 12GB,20382,def,303234,complete,6.13248,1.66786,1.6104292E7,sat
380644576,lia/chc-lia-0015.smt2,7589980,hoice v1.5.0,20413,hoice_default,303297,complete,0.013749,0.047935,113132.0,sat
380644577,lia/chc-lia-0015.smt2,7589980,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.0,834.859,5.9470372E7,starexec-unknown
380644578,lia/chc-lia-0015.smt2,7589980,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.08,559.517,6.024032E7,starexec-unknown
380644579,lia/chc-lia-0015.smt2,7589980,rebus v1.5,20525,def,303851,complete,0.023028,0.0222619,113132.0,sat
380644580,lia/chc-lia-0015.smt2,7589980,spacer,19768,def,300997,timeout (cpu),900.06,900.314,985148.0,starexec-unknown
380644581,lia/chc-lia-0015.smt2,7589980,TransfHORNer,20513,default,303835,complete,250.38,250.668,1077964.0,sat
380643470,lia/chc-lia-0016.smt2,7589802,PECOS-v1.10,20409,lia.sh,303282,complete,14.2582,24.0471,159548.0,sat
380643471,lia/chc-lia-0016.smt2,7589802,Eldarica 2.0alpha 12GB,20382,def,303234,complete,66.8903,23.4535,1.709296E7,sat
380643472,lia/chc-lia-0016.smt2,7589802,hoice v1.5.0,20413,hoice_default,303297,timeout (cpu),900.09,898.253,280124.0,starexec-unknown
380643473,lia/chc-lia-0016.smt2,7589802,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,complete,20.5733,7.37142,5.9468324E7,starexec-unknown
380643474,lia/chc-lia-0016.smt2,7589802,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,complete,151.494,107.587,6.0232108E7,sat
380643475,lia/chc-lia-0016.smt2,7589802,rebus v1.5,20525,def,303851,complete,20.4235,20.4227,253252.0,sat
380643476,lia/chc-lia-0016.smt2,7589802,spacer,19768,def,300997,timeout (cpu),900.03,900.178,521944.0,starexec-unknown
380643477,lia/chc-lia-0016.smt2,7589802,TransfHORNer,20513,default,303835,complete,684.731,685.32,1000900.0,sat
380643766,lia/chc-lia-0017.smt2,7589851,PECOS-v1.10,20409,lia.sh,303282,complete,0.825387,0.824755,135020.0,sat
380643767,lia/chc-lia-0017.smt2,7589851,Eldarica 2.0alpha 12GB,20382,def,303234,complete,5.31321,2.21984,1.623796E7,sat
380643768,lia/chc-lia-0017.smt2,7589851,hoice v1.5.0,20413,hoice_default,303297,complete,0.036817,0.0518241,113132.0,sat
380643769,lia/chc-lia-0017.smt2,7589851,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.04,861.612,6.0123684E7,starexec-unknown
380643770,lia/chc-lia-0017.smt2,7589851,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.11,728.436,6.0245612E7,starexec-unknown
380643771,lia/chc-lia-0017.smt2,7589851,rebus v1.5,20525,def,303851,timeout (cpu),900.06,900.318,1361472.0,starexec-unknown
380643772,lia/chc-lia-0017.smt2,7589851,spacer,19768,def,300997,timeout (cpu),900.01,900.109,431640.0,starexec-unknown
380643773,lia/chc-lia-0017.smt2,7589851,TransfHORNer,20513,default,303835,complete,300.564,300.96,867400.0,sat
380644118,lia/chc-lia-0018.smt2,7589906,PECOS-v1.10,20409,lia.sh,303282,complete,23.6917,38.6324,159712.0,sat
380644119,lia/chc-lia-0018.smt2,7589906,Eldarica 2.0alpha 12GB,20382,def,303234,complete,61.2311,20.1261,1.7155432E7,sat
380644120,lia/chc-lia-0018.smt2,7589906,hoice v1.5.0,20413,hoice_default,303297,timeout (cpu),900.01,899.234,282700.0,starexec-unknown
380644121,lia/chc-lia-0018.smt2,7589906,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.2,858.822,5.9470588E7,starexec-unknown
380644122,lia/chc-lia-0018.smt2,7589906,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,complete,899.926,739.36,6.024594E7,sat
380644123,lia/chc-lia-0018.smt2,7589906,rebus v1.5,20525,def,303851,complete,132.112,132.169,416152.0,sat
380644124,lia/chc-lia-0018.smt2,7589906,spacer,19768,def,300997,complete,53.9608,53.9802,328768.0,sat
380644125,lia/chc-lia-0018.smt2,7589906,TransfHORNer,20513,default,303835,complete,106.142,106.251,983916.0,sat
380644406,lia/chc-lia-0019.smt2,7589952,PECOS-v1.10,20409,lia.sh,303282,timeout (cpu),900.09,919.609,222648.0,starexec-unknown
380644407,lia/chc-lia-0019.smt2,7589952,Eldarica 2.0alpha 12GB,20382,def,303234,timeout (cpu),900.04,430.531,1.7089896E7,starexec-unknown
380644408,lia/chc-lia-0019.smt2,7589952,hoice v1.5.0,20413,hoice_default,303297,timeout (cpu),900.01,899.077,274988.0,starexec-unknown
380644409,lia/chc-lia-0019.smt2,7589952,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,complete,11.9677,4.27559,5.9537968E7,starexec-unknown
380644410,lia/chc-lia-0019.smt2,7589952,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,complete,11.5939,4.95669,6.012234E7,sat
380644411,lia/chc-lia-0019.smt2,7589952,rebus v1.5,20525,def,303851,complete,0.191026,0.190233,113132.0,sat
380644412,lia/chc-lia-0019.smt2,7589952,spacer,19768,def,300997,complete,62.463,62.4933,171200.0,sat
380644413,lia/chc-lia-0019.smt2,7589952,TransfHORNer,20513,default,303835,timeout (cpu),900.01,900.851,1013844.0,starexec-unknown
380643550,lia/chc-lia-0020.smt2,7589813,PECOS-v1.10,20409,lia.sh,303282,timeout (wallclock),896.41,920.017,249036.0,starexec-unknown
380643551,lia/chc-lia-0020.smt2,7589813,Eldarica 2.0alpha 12GB,20382,def,303234,timeout (cpu),900.1,426.25,1.7156964E7,starexec-unknown
380643552,lia/chc-lia-0020.smt2,7589813,hoice v1.5.0,20413,hoice_default,303297,timeout (cpu),900.02,898.89,282020.0,starexec-unknown
380643553,lia/chc-lia-0020.smt2,7589813,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.01,857.736,5.9470668E7,starexec-unknown
380643554,lia/chc-lia-0020.smt2,7589813,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.03,859.413,6.116356E7,starexec-unknown
380643555,lia/chc-lia-0020.smt2,7589813,rebus v1.5,20525,def,303851,timeout (cpu),900.01,900.177,541748.0,starexec-unknown
380643556,lia/chc-lia-0020.smt2,7589813,spacer,19768,def,300997,timeout (cpu),900.07,900.221,955312.0,starexec-unknown
380643557,lia/chc-lia-0020.smt2,7589813,TransfHORNer,20513,default,303835,timeout (cpu),900.01,901.019,1435876.0,starexec-unknown
380643718,lia/chc-lia-0021.smt2,7589843,PECOS-v1.10,20409,lia.sh,303282,complete,0.852944,0.998399,153808.0,sat
380643719,lia/chc-lia-0021.smt2,7589843,Eldarica 2.0alpha 12GB,20382,def,303234,complete,4.89231,2.21111,1.610634E7,sat
380643720,lia/chc-lia-0021.smt2,7589843,hoice v1.5.0,20413,hoice_default,303297,complete,2.66,2.66389,268832.0,sat
380643721,lia/chc-lia-0021.smt2,7589843,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.07,842.477,6.0128476E7,starexec-unknown
380643722,lia/chc-lia-0021.smt2,7589843,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),1115.02,601.523,6.0244388E7,starexec-unknown
380643723,lia/chc-lia-0021.smt2,7589843,rebus v1.5,20525,def,303851,timeout (cpu),900.01,900.116,884380.0,starexec-unknown
380643724,lia/chc-lia-0021.smt2,7589843,spacer,19768,def,300997,timeout (cpu),900.06,900.208,464148.0,starexec-unknown
380643725,lia/chc-lia-0021.smt2,7589843,TransfHORNer,20513,default,303835,complete,300.684,301.006,1014392.0,sat
380644206,lia/chc-lia-0022.smt2,7589921,PECOS-v1.10,20409,lia.sh,303282,complete,1.46168,1.51143,113132.0,sat
380644207,lia/chc-lia-0022.smt2,7589921,Eldarica 2.0alpha 12GB,20382,def,303234,complete,4.83851,2.12855,1.6106896E7,sat
380644208,lia/chc-lia-0022.smt2,7589921,hoice v1.5.0,20413,hoice_default,303297,timeout (cpu),900.02,897.476,284348.0,starexec-unknown
380644209,lia/chc-lia-0022.smt2,7589921,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.02,850.714,5.9468324E7,starexec-unknown
380644210,lia/chc-lia-0022.smt2,7589921,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.01,693.73,6.0276648E7,starexec-unknown
380644211,lia/chc-lia-0022.smt2,7589921,rebus v1.5,20525,def,303851,timeout (cpu),900.07,900.317,2795840.0,starexec-unknown
380644212,lia/chc-lia-0022.smt2,7589921,spacer,19768,def,300997,timeout (cpu),900.04,900.216,707208.0,starexec-unknown
380644213,lia/chc-lia-0022.smt2,7589921,TransfHORNer,20513,default,303835,complete,300.582,300.968,1012472.0,sat
380644310,lia/chc-lia-0023.smt2,7589934,PECOS-v1.10,20409,lia.sh,303282,complete,1.49473,1.57048,139036.0,sat
380644311,lia/chc-lia-0023.smt2,7589934,Eldarica 2.0alpha 12GB,20382,def,303234,complete,9.35831,3.28239,1.6173808E7,sat
380644312,lia/chc-lia-0023.smt2,7589934,hoice v1.5.0,20413,hoice_default,303297,timeout (cpu),900.06,897.705,280128.0,starexec-unknown
380644313,lia/chc-lia-0023.smt2,7589934,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.01,843.219,5.9470372E7,starexec-unknown
380644314,lia/chc-lia-0023.smt2,7589934,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),900.08,506.822,6.0237352E7,starexec-unknown
380644315,lia/chc-lia-0023.smt2,7589934,rebus v1.5,20525,def,303851,timeout (cpu),900.03,900.095,629772.0,starexec-unknown
380644316,lia/chc-lia-0023.smt2,7589934,spacer,19768,def,300997,timeout (cpu),900.0,900.122,735016.0,starexec-unknown
380644317,lia/chc-lia-0023.smt2,7589934,TransfHORNer,20513,default,303835,complete,600.606,601.403,1237184.0,sat
380644694,lia/chc-lia-0024.smt2,7589997,PECOS-v1.10,20409,lia.sh,303282,complete,0.858394,0.940751,159052.0,sat
380644695,lia/chc-lia-0024.smt2,7589997,Eldarica 2.0alpha 12GB,20382,def,303234,complete,7.6975,2.84381,1.6170344E7,sat
380644696,lia/chc-lia-0024.smt2,7589997,hoice v1.5.0,20413,hoice_default,303297,complete,0.035792,0.0984471,113132.0,sat
380644697,lia/chc-lia-0024.smt2,7589997,Ultimate TreeAutomizer  2018 07 06 11 04,20427,default,303312,timeout (cpu),900.04,852.459,6.0123684E7,starexec-unknown
380644698,lia/chc-lia-0024.smt2,7589997,Ultimate Unihorn Automizer  2018 07 06 10 41,20426,default,303311,timeout (cpu),1293.64,704.719,6.0241436E7,starexec-unknown
380644699,lia/chc-lia-0024.smt2,7589997,rebus v1.5,20525,def,303851,timeout (cpu),900.04,900.14,861504.0,starexec-unknown
